scaling,n,unknowns,processes,method,overlap,iterations,relative_residual,runtime,run_id,job_id
weak,256,65536,1,AS,1,102,9.00337e-09,0.370464,1,211490
weak,256,65536,1,AS,1,102,9.00337e-09,0.277804,2,211490
weak,256,65536,1,AS,1,102,9.00337e-09,0.27619,3,211490
weak,256,65536,1,AS,1,102,9.00337e-09,0.313477,4,211490
weak,256,65536,1,AS,1,102,9.00337e-09,0.369805,5,211490
weak,256,65536,1,AS,2,102,9.00337e-09,0.347145,1,211490
weak,256,65536,1,AS,2,102,9.00337e-09,0.273407,2,211490
weak,256,65536,1,AS,2,102,9.00337e-09,0.286465,3,211490
weak,256,65536,1,AS,2,102,9.00337e-09,0.350919,4,211490
weak,256,65536,1,AS,2,102,9.00337e-09,0.358692,5,211490
weak,256,65536,1,BJ,0,102,9.00337e-09,0.320154,1,211490
weak,256,65536,1,BJ,0,102,9.00337e-09,0.306584,2,211490
weak,256,65536,1,BJ,0,102,9.00337e-09,0.238274,3,211490
weak,256,65536,1,BJ,0,102,9.00337e-09,0.320041,4,211490
weak,256,65536,1,BJ,0,102,9.00337e-09,0.32295,5,211490
weak,362,131044,2,AS,1,226,8.66291e-09,0.936321,1,211491
weak,362,131044,2,AS,1,226,8.66291e-09,0.887593,2,211491
weak,362,131044,2,AS,1,226,8.66291e-09,0.900672,3,211491
weak,362,131044,2,AS,1,226,8.66291e-09,0.86125,4,211491
weak,362,131044,2,AS,1,226,8.66291e-09,0.863006,5,211491
weak,362,131044,2,AS,2,228,9.73973e-09,0.890547,1,211491
weak,362,131044,2,AS,2,228,9.73973e-09,0.89519,2,211491
weak,362,131044,2,AS,2,228,9.73973e-09,0.922198,3,211491
weak,362,131044,2,AS,2,228,9.73973e-09,0.908744,4,211491
weak,362,131044,2,AS,2,228,9.73973e-09,0.893841,5,211491
weak,362,131044,2,BJ,0,239,6.24353e-09,0.765275,1,211491
weak,362,131044,2,BJ,0,239,6.24353e-09,0.794324,2,211491
weak,362,131044,2,BJ,0,239,6.24353e-09,0.837028,3,211491
weak,362,131044,2,BJ,0,239,6.24353e-09,0.840962,4,211491
weak,362,131044,2,BJ,0,239,6.24353e-09,0.807339,5,211491
weak,512,262144,4,AS,1,288,8.47553e-09,0.804804,1,211945
weak,512,262144,4,AS,1,288,8.47553e-09,0.804496,2,211945
weak,512,262144,4,AS,1,288,8.47553e-09,0.806305,3,211945
weak,512,262144,4,AS,1,288,8.47553e-09,0.806444,4,211945
weak,512,262144,4,AS,1,288,8.47553e-09,0.805951,5,211945
weak,512,262144,4,AS,2,292,8.75927e-09,0.826202,1,211945
weak,512,262144,4,AS,2,292,8.75927e-09,0.829215,2,211945
weak,512,262144,4,AS,2,292,8.75927e-09,0.827312,3,211945
weak,512,262144,4,AS,2,292,8.75927e-09,0.826496,4,211945
weak,512,262144,4,AS,2,292,8.75927e-09,0.82799,5,211945
weak,512,262144,4,BJ,0,299,9.16747e-09,0.71757,1,211945
weak,512,262144,4,BJ,0,299,9.16747e-09,0.717415,2,211945
weak,512,262144,4,BJ,0,299,9.16747e-09,0.718984,3,211945
weak,512,262144,4,BJ,0,299,9.16747e-09,0.723712,4,211945
weak,512,262144,4,BJ,0,299,9.16747e-09,0.718801,5,211945
weak,724,524176,8,AS,1,454,9.39962e-09,1.29556,1,211946
weak,724,524176,8,AS,1,454,9.39962e-09,1.29918,2,211946
weak,724,524176,8,AS,1,454,9.39962e-09,1.29809,3,211946
weak,724,524176,8,AS,1,454,9.39962e-09,1.29711,4,211946
weak,724,524176,8,AS,1,454,9.39962e-09,1.29673,5,211946
weak,724,524176,8,AS,2,449,8.97536e-09,1.30499,1,211946
weak,724,524176,8,AS,2,449,8.97536e-09,1.30451,2,211946
weak,724,524176,8,AS,2,449,8.97536e-09,1.304,3,211946
weak,724,524176,8,AS,2,449,8.97536e-09,1.3056,4,211946
weak,724,524176,8,AS,2,449,8.97536e-09,1.30689,5,211946
weak,724,524176,8,BJ,0,462,7.77661e-09,1.11831,1,211946
weak,724,524176,8,BJ,0,462,7.77661e-09,1.12721,2,211946
weak,724,524176,8,BJ,0,462,7.77661e-09,1.12773,3,211946
weak,724,524176,8,BJ,0,462,7.77661e-09,1.1218,4,211946
weak,724,524176,8,BJ,0,462,7.77661e-09,1.11927,5,211946
