scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeats,mean_iterations,std_iterations,min_iterations,max_iterations,mean_relative_residual,std_relative_residual,max_relative_residual,mean_total_time,std_total_time,min_total_time,max_total_time,mean_time_per_iteration,std_time_per_iteration,mean_spmv_time,std_spmv_time,mean_halo_time,std_halo_time,mean_preconditioner_time,std_preconditioner_time,mean_reduction_time,std_reduction_time,mean_vector_time,std_vector_time,mean_preconditioner_time_per_iteration,mean_reduction_time_per_iteration,cv_total_time
strong,512,262144,8,32768,AS1,1,4,5,281.0,0.0,281,281,9.59095e-09,0.0,9.59095e-09,0.3715984,0.0013066477107468574,0.370076,0.373381,0.0013224142348754449,4.649991853191656e-06,0.02276572,0.001371267444957402,0.0019209508,0.00141957875775406,0.3094822,0.0005476664678433247,0.008721242,0.001308830201766448,0.013594699999999998,0.00042841305769082276,0.0011013601423487545,3.1036448398576515e-05,0.003516289926831917
strong,512,262144,8,32768,AS2,2,4,5,281.0,0.0,281,281,9.7634e-09,0.0,9.7634e-09,0.3813854,0.0007165005512907805,0.380884,0.382797,0.0013572434163701067,2.5498240259458575e-06,0.02258532,0.0006878902860195078,0.001828047,0.0006905740225464609,0.3214736,0.0015451364470492627,0.00687483,0.0016793248810876356,0.013408220000000002,0.0003724451873766121,0.0011440341637010676,2.4465587188612102e-05,0.0018786785002540226
strong,512,262144,16,16384,BJ,0,4,5,309.0,0.0,309,309,9.99903e-09,0.0,9.99903e-09,0.19195020000000002,0.0009169013905540733,0.190944,0.193017,0.0006211980582524272,2.9673184160326064e-06,0.013076480000000001,0.00021550510341984935,0.0016598019999999997,0.00032338364500388695,0.15503119999999998,7.401189093651843e-05,0.006908194000000001,0.0007614718699098477,0.007616397999999999,0.00011281303796990827,0.0005017190938511327,2.2356614886731393e-05,0.004776767049755995
strong,512,262144,16,16384,AS1,1,4,5,291.0,0.0,291,291,8.90873e-09,0.0,8.90873e-09,0.2014622,0.0002219571129745596,0.201183,0.201775,0.0006923099656357389,7.627392198438565e-07,0.01220832,0.0007185497043350586,0.0013533185999999998,0.0004323409924509125,0.1658878,0.0007559167679050366,0.007701379999999999,0.001313622305413546,0.006941398,0.0002472147106787944,0.0005700611683848797,2.6465223367697594e-05,0.001101730810914204
strong,512,262144,16,16384,AS2,2,4,5,289.0,0.0,289,289,8.49987e-09,0.0,8.49987e-09,0.21067719999999998,0.00045535893534660946,0.209909,0.211186,0.0007289868512110727,1.5756364544865415e-06,0.0124139,0.0009677130173765359,0.0013004098,0.0004076429927043516,0.17604599999999998,0.0011383365056080684,0.006443061999999999,0.0019492664025668733,0.006990468,0.00020025703167679274,0.0006091557093425605,2.2294332179930796e-05,0.002161405863314158
strong,512,262144,32,8192,BJ,0,4,5,324.0,0.0,324,324,9.77187e-09,0.0,9.77187e-09,0.1090916,0.0008109511945857169,0.108216,0.110461,0.0003367024691358025,2.502935785758381e-06,0.008813032,0.000728431582220321,0.002662528,0.0007427181486782184,0.08213916,0.0002972252250398646,0.008934164,0.0006191904139632659,0.00425492,0.00044828425379439784,0.00025351592592592594,2.7574580246913584e-05,0.007433672203778448
strong,512,262144,32,8192,AS1,1,4,5,295.0,0.0,295,295,7.55314e-09,0.0,7.55314e-09,0.1157866,0.0004666920183590045,0.115128,0.116365,0.0003924969491525423,1.5820068418949274e-06,0.007420468000000001,0.0007653783113049389,0.001522264,0.00029693530242125125,0.09220578,0.0008695557702643338,0.007980898,0.0015272555489949937,0.003652726,0.00022099564254527738,0.0003125619661016949,2.7053891525423726e-05,0.004030622009446728
strong,512,262144,32,8192,AS2,2,4,5,294.0,0.0,294,294,8.03923e-09,0.0,8.03923e-09,0.1360428,0.01861570466461047,0.12614,0.173268,0.0004627306122448979,6.331872334901523e-05,0.006848155999999999,0.0002713221974406076,0.001284632,0.00026789241731710133,0.1017218,0.0009520238232313306,0.019011824,0.018956180134331493,0.003967928,0.0003547408516875381,0.00034599251700680276,6.466606802721088e-05,0.13683711791149897
strong,1024,1048576,1,1048576,BJ,0,4,5,383.0,0.0,383,383,9.32925e-09,0.0,9.32925e-09,23.06232,0.693312112688073,22.0179,24.2046,0.060214934725848566,0.0018102143934414416,2.306314,0.1319673712097048,0.001327732,7.823974473373491e-05,18.0704,0.47694170293653254,0.0010744959999999999,6.15721822254173e-05,1.4196719999999998,0.04998117181499447,0.047181201044386424,2.805472584856397e-06,0.030062548463817736
strong,1024,1048576,1,1048576,AS1,1,4,5,383.0,0.0,383,383,9.32925e-09,0.0,9.32925e-09,26.980520000000002,0.5618110693106716,25.921,27.467,0.07044522193211489,0.001466869632664943,2.4337679999999997,0.06312831295068796,0.0014713719999999999,3.803383304375203e-05,21.40804,0.5917065103579638,0.00129466,6.268659697255863e-05,1.562114,0.05537997240880501,0.055895665796344654,3.380313315926893e-06,0.020822840675816166
