scaling,grid_size,processes,method,n_CG,n_M,R_T,R_T_ci_lower,R_T_ci_upper,R_k,R_k_ci_lower,R_k_ci_upper,R_C,R_C_ci_lower,R_C_ci_upper,runtime_conclusion,screening_RT_le_1_20,bootstrap_seed,bootstrap_samples,ci_level
strong,2048,4,AS2,5,5,1.82524972292409,1.80710902776754,1.84174525558592,0.291427077888134,0.291427077888134,0.291427077888134,6.26314389229379,6.20089608990009,6.31974650033338,CG_faster,False,20260802,10000,0.95
strong,2048,8,BJ,5,5,1.56255382452512,1.54417393070266,1.58188417293625,0.290120230005227,0.290120230005227,0.290120230005227,5.3858837230929,5.32253104402556,5.45251247356223,CG_faster,False,20260802,10000,0.95
strong,2048,8,AS1,5,5,1.84729726699998,1.82550812687433,1.86977998144824,0.278619968635651,0.278619968635651,0.278619968635651,6.63016823972037,6.55196444035757,6.71086135930672,CG_faster,False,20260802,10000,0.95
strong,2048,8,AS2,5,5,1.9278616183823,1.905137458993,1.95163375268729,0.289074751698902,0.289074751698902,0.289074751698902,6.66907644840026,6.590466472068,6.75131169781334,CG_faster,False,20260802,10000,0.95
strong,2048,16,BJ,5,5,1.55928167637642,1.5511304550074,1.5662415477426,0.282017773131208,0.282017773131208,0.282017773131208,5.52901917869896,5.50011596001698,5.55369801822353,CG_faster,False,20260802,10000,0.95
strong,2048,16,AS1,5,5,2.00984023454584,1.9987144615671,2.01964165258053,0.278619968635651,0.278619968635651,0.278619968635651,7.21355416263825,7.17362244836373,7.24873261048133,CG_faster,False,20260802,10000,0.95
strong,2048,16,AS2,5,5,1.97597848916629,1.96545864660682,1.98527301714911,0.270778881338212,0.270778881338212,0.270778881338212,7.29738774087861,7.25853743428348,7.33171289923987,CG_faster,False,20260802,10000,0.95
strong,2048,32,BJ,5,5,1.70650472996286,1.69851674443379,1.71594263406696,0.288029273392577,0.288029273392577,0.288029273392577,5.92476143088739,5.89702818893257,5.95752860067168,CG_faster,False,20260802,10000,0.95
strong,2048,32,AS1,5,5,2.33268025032848,2.32178230411763,2.34559832307935,0.280188186095139,0.280188186095139,0.280188186095139,8.32540544566862,8.28651035033029,8.37151043293058,CG_faster,False,20260802,10000,0.95
strong,2048,32,AS2,5,5,3.88293182185181,3.60445487579067,4.15341351900376,0.287767903815996,0.287767903815996,0.287767903815996,13.4932762492325,12.525562538397,14.4332062885635,CG_faster,False,20260802,10000,0.95
strong,2048,64,BJ,5,5,2.03453600107614,1.95039191716788,2.16106467970125,0.299790904338735,0.299790904338735,0.299790904338735,6.78651677429584,6.50584086755387,7.2085732036068,CG_faster,False,20260802,10000,0.95
strong,2048,64,AS1,5,5,2.74242459688503,2.68948701512167,2.77602321731569,0.283063251437533,0.283063251437533,0.283063251437533,9.68838089351998,9.50136409958957,9.80707740484749,CG_faster,False,20260802,10000,0.95
strong,2048,64,AS2,5,5,2.97786498694787,2.91812464000529,3.02184984182957,0.288290642969158,0.288290642969158,0.288290642969158,10.3293848051338,10.1221621692296,10.4819560243336,CG_faster,False,20260802,10000,0.95
strong,2048,128,BJ,5,5,2.0508010072286,1.99092544073497,2.11285145747358,0.322268687924726,0.322268687924726,0.322268687924726,6.36363718869151,6.17784325730088,6.55617978612646,CG_faster,False,20260802,10000,0.95
strong,2048,128,AS1,5,5,2.13307248138581,2.08509276104789,2.17713188573036,0.287767903815996,0.287767903815996,0.287767903815996,7.412475307704,7.24574469007194,7.56558273824193,CG_faster,False,20260802,10000,0.95
strong,2048,128,AS2,5,5,2.32272921324737,2.26719145775763,2.3737078309886,0.286199686356508,0.286199686356508,0.286199686356508,8.11576435605885,7.92171188801888,8.29388690535377,CG_faster,False,20260802,10000,0.95
weak,256,1,BJ,5,5,2.07079587673645,2.02985850470019,2.10894694776663,0.217021276595745,0.217021276595745,0.217021276595745,9.54190256927579,9.35326958048126,9.71769672010115,CG_faster,False,20260802,10000,0.95
weak,256,1,AS1,5,5,2.37669508067873,2.33683031200208,2.41422885236696,0.217021276595745,0.217021276595745,0.217021276595745,10.951438116853,10.767747516088,11.1243878491419,CG_faster,False,20260802,10000,0.95
weak,256,1,AS2,5,5,2.39054271021586,2.33769486290081,2.43975123461221,0.217021276595745,0.217021276595745,0.217021276595745,11.0152458215829,10.7717312310135,11.241990983017,CG_faster,False,20260802,10000,0.95
weak,362,2,BJ,5,5,3.43813003553582,3.3571864197562,3.52304996067586,0.360482654600302,0.360482654600302,0.360482654600302,9.53757411531484,9.31303178367515,9.77314696204224,CG_faster,False,20260802,10000,0.95
weak,362,2,AS1,5,5,3.95654805278226,3.8603533665322,4.06130958169726,0.340874811463047,0.340874811463047,0.340874811463047,11.6070414114807,11.3248419558002,11.9143727994039,CG_faster,False,20260802,10000,0.95
weak,362,2,AS2,5,5,3.93447285084281,3.83092267073917,4.0461680022805,0.343891402714932,0.343891402714932,0.343891402714932,11.441032895214,11.1399198714915,11.7658306382104,CG_faster,False,20260802,10000,0.95
weak,512,4,BJ,5,5,2.19451206671181,2.17810043152919,2.21122728358083,0.317747077577046,0.317747077577046,0.317747077577046,6.90647443068835,6.85482443501327,6.95907984565072,CG_faster,False,20260802,10000,0.95
weak,512,4,AS1,5,5,2.47996208104808,2.45968661527746,2.50176236681427,0.30605738575983,0.30605738575983,0.30605738575983,8.10293166064666,8.0366843922781,8.17416106657024,CG_faster,False,20260802,10000,0.95
weak,512,4,AS2,5,5,2.54357456114769,2.52444988743853,2.56300218151954,0.310308182784272,0.310308182784272,0.310308182784272,8.19693034945196,8.13529912356047,8.25953785208867,CG_faster,False,20260802,10000,0.95
weak,724,8,BJ,5,5,2.43439567646546,2.42315957572494,2.44490453892465,0.345808383233533,0.345808383233533,0.345808383233533,7.03972429384817,7.00723201984527,7.07011355844878,CG_faster,False,20260802,10000,0.95
weak,724,8,AS1,5,5,2.83473508563659,2.82122885572572,2.84742691335882,0.339820359281437,0.339820359281437,0.339820359281437,8.34186360002308,8.30211839482284,8.37921223843037,CG_faster,False,20260802,10000,0.95
weak,724,8,AS2,5,5,2.85325665459131,2.84032586714889,2.86555056417503,0.336077844311377,0.336077844311377,0.336077844311377,8.48986835308238,8.45139278064793,8.52644889473907,CG_faster,False,20260802,10000,0.95
weak,1024,16,BJ,5,5,2.02733739462223,2.00600140832968,2.0480244220418,0.300842992623815,0.300842992623815,0.300842992623815,6.73885529771101,6.66793462873859,6.80761883193578,CG_faster,False,20260802,10000,0.95
weak,1024,16,AS1,5,5,2.39090579028715,2.36623992028252,2.41477112146447,0.292939936775553,0.292939936775553,0.292939936775553,8.16176113303059,8.07756001564069,8.24322947579058,CG_faster,False,20260802,10000,0.95
weak,1024,16,AS2,5,5,2.42875618110166,2.40333405764279,2.45356909644521,0.290305584826133,0.290305584826133,0.290305584826133,8.36620550223404,8.27863528385846,8.45167721425229,CG_faster,False,20260802,10000,0.95
