crossover_rank,scaling,grid_size,processes,method,R_T,R_T_ci_lower,R_T_ci_upper,runtime_penalty_pct,ci_lower_runtime_penalty_pct,R_k,R_k_ci_lower,R_k_ci_upper,iteration_change_pct,iteration_reduction_pct,R_C,R_C_ci_lower,R_C_ci_upper,per_iteration_cost_change_pct,decomposition_pattern,runtime_conclusion,screening_RT_le_1_20
48,weak,1024,16,AS2,2.42875618110166,2.40333405764279,2.45356909644521,142.875618110166,140.333405764279,0.290305584826133,0.290305584826133,0.290305584826133,-70.9694415173867,70.9694415173867,8.36620550223404,8.27863528385846,8.45167721425229,736.620550223404,iteration_gain_but_per_iteration_penalty,CG_faster,False
49,strong,1024,8,AS2,2.43205930407608,2.39823720781708,2.46943216289892,143.205930407608,139.823720781708,0.301369863013699,0.301369863013699,0.301369863013699,-69.8630136986301,69.8630136986301,8.07001496352519,7.95778709866577,8.19402490416461,707.001496352519,iteration_gain_but_per_iteration_penalty,CG_faster,False
50,weak,724,8,BJ,2.43439567646546,2.42315957572494,2.44490453892465,143.439567646546,142.315957572494,0.345808383233533,0.345808383233533,0.345808383233533,-65.4191616766467,65.4191616766467,7.03972429384817,7.00723201984527,7.07011355844878,603.972429384817,iteration_gain_but_per_iteration_penalty,CG_faster,False
51,strong,2048,2,AS2,2.45522076255161,2.4108081679467,2.51953325450635,145.522076255161,141.08081679467,0.29064296915839,0.29064296915839,0.29064296915839,-70.935703084161,70.935703084161,8.44754913446265,8.29474105266554,8.66882574796881,744.754913446265,iteration_gain_but_per_iteration_penalty,CG_faster,False
52,strong,512,4,AS1,2.47762468710418,2.45923704115822,2.49650604064551,147.762468710418,145.923704115822,0.30605738575983,0.30605738575983,0.30605738575983,-69.394261424017,69.394261424017,8.09529455057303,8.03521547128434,8.1569867508591,709.529455057303,iteration_gain_but_per_iteration_penalty,CG_faster,False
53,weak,512,4,AS1,2.47996208104808,2.45968661527746,2.50176236681427,147.996208104808,145.968661527746,0.30605738575983,0.30605738575983,0.30605738575983,-69.394261424017,69.394261424017,8.10293166064666,8.0366843922781,8.17416106657024,710.293166064666,iteration_gain_but_per_iteration_penalty,CG_faster,False
54,strong,1024,1,AS1,2.49336655293635,2.44145899218344,2.53042937238576,149.336655293635,144.145899218344,0.201791359325606,0.201791359325606,0.201791359325606,-79.8208640674394,79.8208640674394,12.3561611422277,12.0989273294104,12.5398301534939,1135.61611422277,iteration_gain_but_per_iteration_penalty,CG_faster,False
55,strong,1024,1,AS2,2.49342384935846,2.43446906295748,2.55306917515466,149.342384935846,143.446906295748,0.201791359325606,0.201791359325606,0.201791359325606,-79.8208640674394,79.8208640674394,12.356445081155,12.0642879412357,12.6520242674766,1135.6445081155,iteration_gain_but_per_iteration_penalty,CG_faster,False
56,strong,1024,64,AS2,2.49864888169306,2.35944046478326,2.70753981377778,149.864888169306,135.944046478326,0.298208640674394,0.298208640674394,0.298208640674394,-70.1791359325606,70.1791359325606,8.37886144426401,7.9120459402096,9.07934729072477,737.886144426401,iteration_gain_but_per_iteration_penalty,CG_faster,False
57,strong,512,32,AS2,2.5050729348352,2.36559133598138,2.76286444710764,150.50729348352,136.559133598138,0.312433581296493,0.312433581296493,0.312433581296493,-68.7566418703507,68.7566418703507,8.01793752272084,7.5715015209472,8.84304573036832,701.793752272084,iteration_gain_but_per_iteration_penalty,CG_faster,False
