scaling,grid_size,processes,method,n_CG,n_M,T_CG_mean_s,T_M_mean_s,k_CG_mean,k_M_mean,C_CG_s_per_iter,C_M_s_per_iter,R_T,R_k,R_C,R_k_times_R_C,identity_abs_error,identity_pass,screening_RT_le_1_20
strong,512,32,AS2,5,7,0.05319406,0.13325499999999998,941.0,294.0,5.6529287991498406e-05,0.00045324829931972787,2.505072934835205,0.31243358129649307,8.017937522720844,2.505072934835205,0.0,True,False
strong,1024,1,BJ,5,5,10.820920000000001,23.06232,1898.0,383.0,0.005701222339304531,0.060214934725848566,2.1312716478820652,0.2017913593256059,10.56175871456961,2.1312716478820657,4.440892098500626e-16,True,False
strong,1024,1,AS1,5,5,10.820920000000001,26.980520000000002,1898.0,383.0,0.005701222339304531,0.07044522193211489,2.493366552936349,0.2017913593256059,12.356161142227652,2.493366552936349,0.0,True,False
strong,1024,1,AS2,5,5,10.820920000000001,26.98114,1898.0,383.0,0.005701222339304531,0.07044684073107049,2.493423849358465,0.2017913593256059,12.356445081155004,2.493423849358465,0.0,True,False
strong,1024,2,BJ,5,5,5.459912,17.29374,1898.0,628.0,0.0028766659641728137,0.0275378025477707,3.1674026980654633,0.3308746048472076,9.572818982369823,3.167402698065463,4.440892098500626e-16,True,False
strong,1024,2,AS1,5,5,5.459912,19.83418,1898.0,618.0,0.0028766659641728137,0.03209414239482201,3.6326922485197564,0.3256059009483667,11.1567150286254,3.632692248519757,4.440892098500626e-16,True,False
strong,1024,2,AS2,5,5,5.459912,18.54724,1898.0,583.0,0.0028766659641728137,0.03181344768439108,3.3969851528742585,0.3071654373024236,11.059138628053761,3.396985152874259,4.440892098500626e-16,True,False
strong,1024,4,BJ,5,5,2.766826,5.58887,1898.0,577.0,0.0014577586933614331,0.009686083188908146,2.019957163912729,0.3040042149631191,6.644503807809982,2.019957163912729,0.0,True,False
strong,1024,4,AS1,5,5,2.766826,6.628677999999999,1898.0,553.0,0.0014577586933614331,0.011986759493670885,2.395769737598244,0.29135932560590094,8.222732300111153,2.3957697375982443,4.440892098500626e-16,True,False
strong,1024,4,AS2,5,5,2.766826,6.965752,1898.0,578.0,0.0014577586933614331,0.012051474048442907,2.5175966974432074,0.30453108535300316,8.267125487451917,2.517596697443208,4.440892098500626e-16,True,False
strong,1024,8,BJ,5,5,1.4015900000000001,2.810796,1898.0,579.0,0.0007384562697576397,0.004854569948186528,2.005433828723093,0.30505795574288724,6.5739437079731085,2.0054338287230924,4.440892098500626e-16,True,False
strong,1024,8,AS1,5,5,1.4015900000000001,3.170206,1898.0,538.0,0.0007384562697576397,0.005892576208178438,2.2618640258563487,0.2834562697576396,7.9795872138947015,2.2618640258563483,4.440892098500626e-16,True,False
strong,1024,8,AS2,5,5,1.4015900000000001,3.40875,1898.0,572.0,0.0007384562697576397,0.0059593531468531465,2.432059304076085,0.3013698630136986,8.07001496352519,2.432059304076085,0.0,True,False
strong,1024,16,BJ,5,5,0.6880246,2.219878,1898.0,571.0,0.000362499789251844,0.003887702276707531,3.226451496065693,0.30084299262381453,10.724702170810309,3.2264514960656934,4.440892098500626e-16,True,False
strong,1024,16,AS1,5,5,0.6880246,2.580398,1898.0,556.0,0.000362499789251844,0.0046410035971223024,3.750444388180307,0.2929399367755532,12.802775986989609,3.7504443881803065,4.440892098500626e-16,True,False
strong,1024,16,AS2,5,5,0.6880246,2.594684,1898.0,551.0,0.000362499789251844,0.004709045372050817,3.771208180637727,0.2903055848261328,12.990477544193116,3.7712081806377276,4.440892098500626e-16,True,False
